memory.max_usage_in_bytes,own_file,input_1,input_2,chromInfo,own_file_extension,input_1_extension,input_2_extension,chromInfo_extension,dbkey,save_mapping_stats,analysis_type_selector,rg_selector,sam_options_selector
270659584,0,594034,594034,0,nan,fastqsanger,fastqsanger,nan,?,False,full,do_not_set,none
2757365760,0,442302778,442302778,0,nan,fastqsanger,fastqsanger,nan,?,False,full,do_not_set,none
470384640,0,594034,594034,0,nan,fastqsanger,fastqsanger,nan,?,False,full,do_not_set,none
269611008,0,594034,594034,0,nan,fastqsanger,fastqsanger,nan,?,False,full,do_not_set,none
890019840,0,107106012,107106012,0,nan,fastqsanger,fastqsanger,nan,?,False,full,do_not_set,none
268357632,0,594034,594034,0,nan,fastqsanger,fastqsanger,nan,?,False,full,do_not_set,none
2744225792,0,442149516,442149516,0,nan,fastqsanger,fastqsanger,nan,?,False,full,do_not_set,none
269774848,0,594034,594034,0,nan,fastqsanger,fastqsanger,nan,?,False,full,do_not_set,none
2809962496,0,442189275,442189275,0,nan,fastqsanger,fastqsanger,nan,?,False,full,do_not_set,none
268087296,0,594034,594034,0,nan,fastqsanger,fastqsanger,nan,?,False,full,do_not_set,none
1820995584,0,269602917,269602917,0,nan,fastqsanger,fastqsanger,nan,?,False,full,do_not_set,none
270786560,0,594034,594034,0,nan,fastqsanger,fastqsanger,nan,?,False,full,do_not_set,none
2777010176,0,442125224,442125224,0,nan,fastqsanger,fastqsanger,nan,?,False,full,do_not_set,none
269651968,0,594034,594034,0,nan,fastqsanger,fastqsanger,nan,?,False,full,do_not_set,none
2776276992,0,442153781,442153781,0,nan,fastqsanger,fastqsanger,nan,?,False,full,do_not_set,none
268955648,0,594034,594034,0,nan,fastqsanger,fastqsanger,nan,?,False,full,do_not_set,none
1252880384,0,172061476,172061476,0,nan,fastqsanger,fastqsanger,nan,?,False,full,do_not_set,none
270618624,0,594034,594034,0,nan,fastqsanger,fastqsanger,nan,?,False,full,do_not_set,none
2795970560,0,442290655,442290655,0,nan,fastqsanger,fastqsanger,nan,?,False,full,do_not_set,none
473542656,0,594034,594034,0,nan,fastqsanger,fastqsanger,nan,?,False,full,do_not_set,none
2810552320,0,441891756,441891756,0,nan,fastqsanger,fastqsanger,nan,?,False,full,do_not_set,none
269594624,0,594034,594034,0,nan,fastqsanger,fastqsanger,nan,?,False,full,do_not_set,none
269946880,0,594034,594034,0,nan,fastqsanger,fastqsanger,nan,?,False,full,do_not_set,none
2791436288,0,442159487,442159487,0,nan,fastqsanger,fastqsanger,nan,?,False,full,do_not_set,none
270127104,0,594034,594034,0,nan,fastqsanger,fastqsanger,nan,?,False,full,do_not_set,none
2796089344,0,442181875,442181875,0,nan,fastqsanger,fastqsanger,nan,?,False,full,do_not_set,none
269168640,0,594034,594034,0,nan,fastqsanger,fastqsanger,nan,?,False,full,do_not_set,none
2146275328,0,326064238,326064238,0,nan,fastqsanger,fastqsanger,nan,?,False,full,do_not_set,none
271237120,0,594034,594034,0,nan,fastqsanger,fastqsanger,nan,?,False,full,do_not_set,none
2711089152,0,442138365,442138365,0,nan,fastqsanger,fastqsanger,nan,?,False,full,do_not_set,none
270757888,0,594034,594034,0,nan,fastqsanger,fastqsanger,nan,?,False,full,do_not_set,none
