memory.max_usage_in_bytes,input_2,input_1,history_item,chromInfo,input_format|paired|reverse,input_format|paired|forward,known_splice_gtf,input_format|reads_r,input_format|reads_f,input_format|reads,input_format|reads2,input_format|reads1,adv|known_splice_gtf,input_2_extension,input_1_extension,history_item_extension,chromInfo_extension,input_format|paired|reverse_extension,input_format|paired|forward_extension,known_splice_gtf_extension,input_format|reads_r_extension,input_format|reads_f_extension,input_format|reads_extension,input_format|reads2_extension,input_format|reads1_extension,adv|known_splice_gtf_extension,dbkey,rna_strandness,type,new_summary,summary_file
30894129152,9276970054,9276970054,0,0,0,0,0,0,0,0,0,0,0,fastqsanger,fastqsanger,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,?,nan,paired,false,false
29914943488,8341602153,8341602153,0,0,0,0,0,0,0,0,0,0,0,fastqsanger,fastqsanger,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,?,nan,paired,false,false
30538121216,8752417143,8752417143,0,0,0,0,0,0,0,0,0,0,0,fastqsanger,fastqsanger,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,?,nan,paired,false,false
27709829120,9048373679,9048373679,0,0,0,0,0,0,0,0,0,0,0,fastqsanger,fastqsanger,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,?,nan,paired,false,false
32212385792,8580101045,8580101045,0,0,0,0,0,0,0,0,0,0,0,fastqsanger,fastqsanger,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,?,nan,paired,false,false
12714917888,63791461,57826653,1294869665,0,0,0,0,0,0,0,0,0,0,fastqsanger.gz,fastqsanger.gz,fasta,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,?,RF,paired,false,false
12990767104,57103613,59390713,1294869665,0,0,0,0,0,0,0,0,0,0,fastqsanger.gz,fastqsanger.gz,fasta,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,?,RF,paired,false,false
13075935232,18471485,22684905,1294869665,0,0,0,0,0,0,0,0,0,0,fastqsanger.gz,fastqsanger.gz,fasta,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,?,RF,paired,false,false
11673833472,72462689,77652791,1294869665,0,0,0,0,0,0,0,0,0,0,fastqsanger.gz,fastqsanger.gz,fasta,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,?,RF,paired,false,false
12307042304,102154449,98516429,1294869665,0,0,0,0,0,0,0,0,0,0,fastqsanger.gz,fastqsanger.gz,fasta,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,?,RF,paired,false,false
12907016192,99849957,92931876,1294869665,0,0,0,0,0,0,0,0,0,0,fastqsanger.gz,fastqsanger.gz,fasta,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,?,RF,paired,false,false
11465371648,159610189,141892162,1294869665,0,0,0,0,0,0,0,0,0,0,fastqsanger.gz,fastqsanger.gz,fasta,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,?,RF,paired,false,false
12952104960,137291186,130131683,1294869665,0,0,0,0,0,0,0,0,0,0,fastqsanger.gz,fastqsanger.gz,fasta,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,?,RF,paired,false,false
